name,url
Niagara Falls,https://www.niagarafallslive.com/wp-content/uploads/opt-falls-background-1920x1080-250k.jpg
Notre Dame,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Notre-Dame_de_Paris%2C_4_October_2017.jpg/800px-Notre-Dame_de_Paris%2C_4_October_2017.jpg
Nyungwe Forest National Park,https://visitrwanda.com/wp-content/uploads/fly-images/3619/canopy-1650x1014.jpg
Oeschinensee Hike,https://i.imgur.com/9EokqER.jpeg
Oktoberfest,https://i.imgur.com/Ncwfi3j.jpeg
Palouse Falls,https://www.nps.gov/common/uploads/cropped_image/primary/D9ADD2C0-AD37-D7BB-AEB8B49FB6F656A7.jpg?width=1600&quality=90&mode=crop
Pamukkale Hot Springs,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/16/4c/17/merveilleux.jpg?w=1200&h=-1&s=1
Paro Taktsang (Tiger’s Nest),https://www.earthtrekkers.com/wp-content/uploads/2017/02/Tigers-Nest-Bhutan.jpg.optimal.jpg
Pico Cao Grande,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Pico_C%C3%A3o_Grande.jpg/1200px-Pico_C%C3%A3o_Grande.jpg
Pics de Sindou,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Aerial_view_Pics_de_Sindou%2C_Burkina_Faso.jpg/1024px-Aerial_view_Pics_de_Sindou%2C_Burkina_Faso.jpg
Plitvice National Park,http://minoritynomad.com/wp-content/uploads/2014/06/Tourist-at-Pltivice-Lakes-National-Park-Croatia.jpg
Pompeii,https://cdn.britannica.com/91/189391-050-EFC45253/Mount-Vesuvius-ruins-Pompeii.jpg
Prague,https://i.imgur.com/En0G1P5.jpeg
Pyramids of Giza,https://i.natgeofe.com/n/535f3cba-f8bb-4df2-b0c5-aaca16e9ff31/giza-plateau-pyramids.jpg
Red Square,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Red_square_Moscow_cityscape_%288309148721%29.jpg/1200px-Red_square_Moscow_cityscape_%288309148721%29.jpg
Richat Structure,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92071/ISS030-E-12516_lrg.jpg
Richtersveld Transfrontier Park,https://upload.wikimedia.org/wikipedia/commons/0/09/Fish_River_Canyon_Namibia.jpg
Ride the Trans-Siberian Railway,https://karaandnate.com/wp-content/uploads/2017/10/transiberian-train.jpg
Rio Carnival,https://i.imgur.com/am0XuEs.jpeg
Rock in Rio,https://i.imgur.com/totGl2H.jpeg
Roskilde,https://i.imgur.com/FY7p2YS.jpeg
Rothenburg ob der tauber,https://upload.wikimedia.org/wikipedia/commons/7/71/Rothenburg_BW_4.JPG
Royal Palaces of Abomey,https://upload.wikimedia.org/wikipedia/commons/d/d3/Abomey_2006_1.jpg
Ruvubu National Park,https://www.congosafaristours.com/wp-content/uploads/2020/09/ruvubu-national-park-1.jpg
Sagrada Familia,https://cdn.britannica.com/15/194815-050-08B5E7D1/Nativity-facade-Sagrada-Familia-cathedral-Barcelona-Spain.jpg
Salzburg,https://www.salzburg.info/panorama-stadtansicht/image-thumb__38900__headerimage/panorama-fruehling-03.jpg
Santorini,https://i.imgur.com/wqaWBSc.jpeg
Japanese Cherry Blossoms,https://www.gotokyo.org/en/story/guide/hanami-guide/images/xsg009_1376_202.jpg.pagespeed.ic.gK_RKSB0Y7.jpg
Boulders Beach,https://upload.wikimedia.org/wikipedia/commons/9/95/Boulders_Beach_Suedafrika.jpg
Sapo National Park,https://www.edgeofexistence.org/wp-content/uploads/2017/07/H_liberiensis_DSC_0066.jpg
The Lavendar Fields,https://i.imgur.com/jHThXRE.png
Northern Lights,https://i.imgur.com/spAl6QN.jpeg
Polar Bears,https://www.quarkexpeditions.com/sites/default/files/blog-images/polar_bear_sea_ice_svalbard_acaciajohnson_4_1.jpg
Skeleton Coast,https://www.travelbutlers.com/images/largeheaders1400/regions/The-Skeleton-Coast.jpg
Ponta Mamoli,https://www.mozambique.co.za/images/white-pearl-resorts-ponta-mamoli-turtle-590x390.jpg
